nature,section,section2,section3,comite
PR,26,,,\N
MCF,27,,,"Externes :
  Thierry Charnois (Univ. Sorbonne Paris Nord, LIPN)
  Véronique Églin (INSA-Lyon, LIRIS)
  Liana Ermakova (Univ. Bretagne Occidentale, HCTI)
  Éric Gaussier (Univ. Grenoble Alpes, LIG)
  Gaël Guibon (Univ. Lorraine, LORIA)
  Karen Pinel-Sauvagnat (Univ. Toulouse 3, IRIT)

Internes : 
  Leonor Becerra (Univ. Aix-Marseille, LIS)
  Corine Cauvet (Univ. Aix-Marseille, LIS)
  François-Xavier Dupé (Univ. Aix-Marseille, LIS)
  Sébastien Fournier (Univ. Aix-Marseille, LIS)
  Magalie Ochs (Univ. Aix-Marseille, LIS)
  Sylvain Sené (Univ. Aix-Marseille, LIS)"
PR,25,,,"CHAMBRION Thomas (Prés)
BONATTI Christian
COULON Rémi (Vice-prés.)

MANN Kathryn 
RECHTMANN Ana 
DUJARDIN Romain
MATHEUS Carlos
PANAZOLLO Daniel 

Les lettres de recommandation doivent être adressées au président du comité à l&#039;adresse Thomas.Chambrion@u-bourgogne.fr."
MCF,25,,,"Jean FROMENTIN	
Philippe DUCHON
Loïc FOISSY
Jean-Christophe NOVELLI
Bruno MARTIN
Luis PARIS
Pierre-Louis GISCARD
Thomas GOBET
Lucile DEVIN
Matthieu PICANTIN
Sandrine LAGAIZE
Elisabeth REMM
"
MCF,27,,,"Externes : 
  Serenella Cerrito (Univ. Évry, IBISC)
  Sabine Fritella (Univ. Orléans, LIFO)
  Emiliano Lorini (CNRS, IRIT)
  Daniel Mery (Univ. Lorraine, LORIA)
  Gabriella Pigozzi (Univ. Paris Dauphine, LAMSADE)
  Sophie Pinchinat (Univ. Rennes, IRISA)

Internes : 
  Patrice Bellot (Univ. Aix-Marseille, LIS)
  Jean Caussanel (Univ. Aix-Marseille, LIS)
  Jérémie Chalopin (CNRS, LIS)
  Séverine Fratani (Univ. Aix-Marseille, LIS)
  Nicola Olivetti (Univ. Aix-Marseille, LIS)
  Éric Wurbel (Univ. Aix-Marseille, LIS)"
MCF,26,,,"CHAMBRION Thomas     (P.)
DUPUIS	  Xavier
JOURANI	  Abderrahim (VP)
VAGO	  Gioia


BONNET	  Catherine
CHITTARO  Francesca
COTS	  Olivier
JEAN	  Frédéric
SILVA     Francisco José
ZIDANI	  Hasnaa
"
MCF,25,,,"Membres externes :
 Marie-Pierre Béal 
 Margaret Bilu
 Francois Charles 
 Thibaut Delcroix 
 Thomas Gauthier 
 Thierry Monteil 
 Stéphanie Nivoche 
 Elodie Pozzi 

Membres locaux :
 Olivier Dudas
 Anna Frid
 Frédéric Richard
 Guillaume Rond"
PR,25,26,,"François BOLLEY
François GAUTERO
Raphaèle HERBIN
Maria Gabriella KUHN
Céline LACAUX
Christine LESCOP
Pascal MAILLARD
Jean MAIRESSE
Christophe PITTET (président)
Jérôme TROUSLARD"
MCF,26,,,https://www.u-bourgogne.fr/wp-content/uploads/ARRETE_ANTEE_4800_0211237F.pdf
MCF,26,,,"Membres externes :

Marthe Bonamy
Isabelle Catto
Nadia El Mrabet
Sophie Guillaume
Sihem Mesnager 
Christophe Ritzenthaler
Mathieu Sablik
Petru Valicov


Membres internes :

Samuele Anni
Stéphane Ballet
Alain Barrat
Laure Cardoulis 
Patricia Gaitan
Daniel Gandolfo
Benoit Marrot
Morgan Morancey"
MCF,25,,,"Membres locaux :
Sylvain CARROZZA
Daniele FAENZI (président)
Lucy MOSER
Johannes NAGEL
Johan TAFLIN (vice-président)
Anne-Laure THIEL

Membres extérieurs :
Olivier BENOIST
Margaret BILU
Enrica FLORIS
Elisa GORLA
Emanuele MACRÌ
Laurent MANIVEL

Les lettres de recommandation peuvent être envoyées à Johan Taflin (johan.taflin@u-bourgogne.fr)


"
